particle_count,timesteps,threads,sample,time
100,10,1,1,0.002
100,10,1,2,0.002
100,10,1,3,0.002
100,10,1,4,0.002
100,10,1,5,0.001
100,10,1,6,0.002
100,10,1,7,0.002
100,10,1,8,0.002
100,10,1,9,0.002
100,10,1,10,0.002
100,10,1,11,0.002
100,10,1,12,0.002
100,10,1,13,0.002
100,10,1,14,0.002
100,10,1,15,0.002
100,10,1,16,0.001
100,10,1,17,0.002
100,10,1,18,0.002
100,10,1,19,0.002
100,10,1,20,0.002
100,10,1,21,0.001
100,10,1,22,0.002
100,10,1,23,0.002
100,10,1,24,0.002
100,10,1,25,0.002
100,10,1,26,0.002
100,10,1,27,0.002
100,10,1,28,0.002
100,10,1,29,0.002
100,10,1,30,0.002
100,10,2,1,0.001
100,10,2,2,0.001
100,10,2,3,0.001
100,10,2,4,0.001
100,10,2,5,0.001
100,10,2,6,0.001
100,10,2,7,0.001
100,10,2,8,0.001
100,10,2,9,0.001
100,10,2,10,0.001
100,10,2,11,0.001
100,10,2,12,0.001
100,10,2,13,0.001
100,10,2,14,0.001
100,10,2,15,0.001
100,10,2,16,0.001
100,10,2,17,0.001
100,10,2,18,0.001
100,10,2,19,0.001
100,10,2,20,0.001
100,10,2,21,0.001
100,10,2,22,0.001
100,10,2,23,0.001
100,10,2,24,0.001
100,10,2,25,0.001
100,10,2,26,0.002
100,10,2,27,0.001
100,10,2,28,0.001
100,10,2,29,0.001
100,10,2,30,0.001
100,10,4,1,0.001
100,10,4,2,0.001
100,10,4,3,0.001
100,10,4,4,0.001
100,10,4,5,0.001
100,10,4,6,0.001
100,10,4,7,0.001
100,10,4,8,0.001
100,10,4,9,0.001
100,10,4,10,0.001
100,10,4,11,0.001
100,10,4,12,0.001
100,10,4,13,0.001
100,10,4,14,0.001
100,10,4,15,0.001
100,10,4,16,0.001
100,10,4,17,0.001
100,10,4,18,0.001
100,10,4,19,0.001
100,10,4,20,0.001
100,10,4,21,0.001
100,10,4,22,0.001
100,10,4,23,0.001
100,10,4,24,0.001
100,10,4,25,0.001
100,10,4,26,0.001
100,10,4,27,0.001
100,10,4,28,0.001
100,10,4,29,0.001
100,10,4,30,0.001
100,10,8,1,0.001
100,10,8,2,0.001
100,10,8,3,0.001
100,10,8,4,0.001
100,10,8,5,0.001
100,10,8,6,0.002
100,10,8,7,0.001
100,10,8,8,0.001
100,10,8,9,0.001
100,10,8,10,0.001
100,10,8,11,0.001
100,10,8,12,0.001
100,10,8,13,0.001
100,10,8,14,0.001
100,10,8,15,0.001
100,10,8,16,0.001
100,10,8,17,0.002
100,10,8,18,0.001
100,10,8,19,0.001
100,10,8,20,0.001
100,10,8,21,0.001
100,10,8,22,0.001
100,10,8,23,0.001
100,10,8,24,0.001
100,10,8,25,0.002
100,10,8,26,0.001
100,10,8,27,0.001
100,10,8,28,0.001
100,10,8,29,0.001
100,10,8,30,0.001
100,10,12,1,0.002
100,10,12,2,0.002
100,10,12,3,0.002
100,10,12,4,0.002
100,10,12,5,0.002
100,10,12,6,0.002
100,10,12,7,0.002
100,10,12,8,0.002
100,10,12,9,0.002
100,10,12,10,0.002
100,10,12,11,0.002
100,10,12,12,0.002
100,10,12,13,0.002
100,10,12,14,0.002
100,10,12,15,0.002
100,10,12,16,0.005
100,10,12,17,0.002
100,10,12,18,0.002
100,10,12,19,0.002
100,10,12,20,0.002
100,10,12,21,0.002
100,10,12,22,0.002
100,10,12,23,0.004
100,10,12,24,0.002
100,10,12,25,0.002
100,10,12,26,0.002
100,10,12,27,0.002
100,10,12,28,0.002
100,10,12,29,0.002
100,10,12,30,0.002
100,50,1,1,0.005
100,50,1,2,0.005
100,50,1,3,0.005
100,50,1,4,0.005
100,50,1,5,0.005
100,50,1,6,0.005
100,50,1,7,0.005
100,50,1,8,0.005
100,50,1,9,0.005
100,50,1,10,0.005
100,50,1,11,0.005
100,50,1,12,0.005
100,50,1,13,0.005
100,50,1,14,0.005
100,50,1,15,0.005
100,50,1,16,0.005
100,50,1,17,0.005
100,50,1,18,0.005
100,50,1,19,0.005
100,50,1,20,0.005
100,50,1,21,0.005
100,50,1,22,0.005
100,50,1,23,0.005
100,50,1,24,0.005
100,50,1,25,0.005
100,50,1,26,0.005
100,50,1,27,0.005
100,50,1,28,0.005
100,50,1,29,0.005
100,50,1,30,0.005
100,50,2,1,0.003
100,50,2,2,0.003
100,50,2,3,0.003
100,50,2,4,0.003
100,50,2,5,0.003
100,50,2,6,0.003
100,50,2,7,0.003
100,50,2,8,0.003
100,50,2,9,0.003
100,50,2,10,0.003
100,50,2,11,0.003
100,50,2,12,0.003
100,50,2,13,0.003
100,50,2,14,0.003
100,50,2,15,0.003
100,50,2,16,0.003
100,50,2,17,0.003
100,50,2,18,0.003
100,50,2,19,0.003
100,50,2,20,0.003
100,50,2,21,0.003
100,50,2,22,0.003
100,50,2,23,0.003
100,50,2,24,0.003
100,50,2,25,0.003
100,50,2,26,0.003
100,50,2,27,0.003
100,50,2,28,0.003
100,50,2,29,0.003
100,50,2,30,0.003
100,50,4,1,0.002
100,50,4,2,0.002
100,50,4,3,0.003
100,50,4,4,0.002
100,50,4,5,0.002
100,50,4,6,0.002
100,50,4,7,0.002
100,50,4,8,0.002
100,50,4,9,0.002
100,50,4,10,0.002
100,50,4,11,0.003
100,50,4,12,0.002
100,50,4,13,0.002
100,50,4,14,0.002
100,50,4,15,0.002
100,50,4,16,0.002
100,50,4,17,0.002
100,50,4,18,0.003
100,50,4,19,0.002
100,50,4,20,0.003
100,50,4,21,0.002
100,50,4,22,0.002
100,50,4,23,0.003
